onset	duration	trial_type	value	sample	stimulus
7.447	225.6	onset	162	7447	1
232.045	0.0	offset	167	232045	n/a
295.397	321.3	onset	162	295397	2
615.699	0.0	offset	167	615699	n/a
664.607	214.4	onset	162	664607	3
878.005	0.0	offset	167	878005	n/a
931.443	211.1	onset	162	931443	4
1141.547	0.0	offset	167	1141547	n/a
1209.797	236.4	onset	162	1209797	5
1445.194	0.0	offset	167	1445194	n/a
1508.562	271.0	onset	162	1508562	6
1778.563	0.0	offset	167	1778563	n/a
1840.026	232.7	onset	162	1840026	7
2071.729	0.0	offset	167	2071729	n/a
2154.589	251.1	onset	162	2154589	8
2404.697	0.0	offset	167	2404697	n/a
2449.727	332.4	onset	162	2449727	9
2781.129	0.0	offset	167	2781129	n/a
2845.935	233.0	onset	162	2845935	10
3077.938	0.0	offset	167	3077938	n/a
3146.723	285.9	onset	162	3146723	11
3431.619	0.0	offset	167	3431619	n/a
